epoch,train_instance_acc,test_instance_acc,test_class_acc,best_instance_acc,best_class_acc,learning_rate,global_step
74,0.9807692307692307,0.9821428571428571,0.9817440430230946,0.9861111111111112,0.9869723415466206,0.000343,23088
75,0.9815705128205128,0.9821428571428571,0.9829139228018251,0.9861111111111112,0.9869723415466206,0.000343,23400
76,0.9779647435897436,0.9712301587301587,0.9681416741386043,0.9861111111111112,0.9869723415466206,0.000343,23712
77,0.9827724358974359,0.9831349206349206,0.9843707815157743,0.9861111111111112,0.9869723415466206,0.000343,24024
78,0.9789663461538461,0.9791666666666666,0.9776562122750636,0.9861111111111112,0.9869723415466206,0.000343,24336
79,0.9831730769230769,0.9851190476190477,0.9863158033209511,0.9861111111111112,0.9869723415466206,0.000343,24648
80,0.9817708333333334,0.9811507936507936,0.976732269324649,0.9861111111111112,0.9869723415466206,0.00024009999999999998,24960
81,0.9827724358974359,0.9821428571428571,0.9830538200146792,0.9861111111111112,0.9869723415466206,0.00024009999999999998,25272
82,0.9833733974358975,0.9821428571428571,0.9806840631025107,0.9861111111111112,0.9869723415466206,0.00024009999999999998,25584
83,0.984375,0.9821428571428571,0.9832424118388886,0.9861111111111112,0.9869723415466206,0.00024009999999999998,25896
84,0.9837740384615384,0.9851190476190477,0.984285179706957,0.9861111111111112,0.9869723415466206,0.00024009999999999998,26208
85,0.983573717948718,0.9811507936507936,0.9805523103612698,0.9861111111111112,0.9869723415466206,0.00024009999999999998,26520
86,0.9861778846153846,0.9801587301587301,0.9774103132536787,0.9861111111111112,0.9869723415466206,0.00024009999999999998,26832
87,0.9841746794871795,0.9871031746031746,0.9892087069003971,0.9871031746031746,0.9892087069003971,0.00024009999999999998,27144
88,0.9811698717948718,0.9841269841269841,0.984266464257845,0.9871031746031746,0.9892087069003971,0.00024009999999999998,27456
89,0.9841746794871795,0.9851190476190477,0.9843758553600219,0.9871031746031746,0.9892087069003971,0.00024009999999999998,27768
90,0.9885817307692307,0.9781746031746031,0.9776570174314998,0.9871031746031746,0.9892087069003971,0.00024009999999999998,28080
91,0.9857772435897436,0.9851190476190477,0.9829546843979979,0.9871031746031746,0.9892087069003971,0.00024009999999999998,28392
92,0.9901842948717948,0.9811507936507936,0.9804074881098993,0.9871031746031746,0.9892087069003971,0.00024009999999999998,28704
93,0.9891826923076923,0.9791666666666666,0.9792538283393599,0.9871031746031746,0.9892087069003971,0.00024009999999999998,29016
94,0.9807692307692307,0.9791666666666666,0.9755908668711818,0.9871031746031746,0.9892087069003971,0.00024009999999999998,29328
95,0.9861778846153846,0.9811507936507936,0.9790031287918742,0.9871031746031746,0.9892087069003971,0.00024009999999999998,29640
96,0.9839743589743589,0.9871031746031746,0.9893919140947267,0.9871031746031746,0.9893919140947267,0.00024009999999999998,29952
97,0.984375,0.9831349206349206,0.9823267793766413,0.9871031746031746,0.9893919140947267,0.00024009999999999998,30264
98,0.9857772435897436,0.9841269841269841,0.9840515901763924,0.9871031746031746,0.9893919140947267,0.00024009999999999998,30576
99,0.9831730769230769,0.9841269841269841,0.9842926848001587,0.9871031746031746,0.9893919140947267,0.00024009999999999998,30888
100,0.9855769230769231,0.9851190476190477,0.9825707114835034,0.9871031746031746,0.9893919140947267,0.00016806999999999998,31200
