epoch,train_instance_acc,test_instance_acc,test_class_acc,best_instance_acc,best_class_acc,learning_rate,global_step
1,0.5154246794871795,0.7172619047619048,0.7040643252635307,0.7172619047619048,0.7040643252635307,0.001,312
2,0.7407852564102564,0.8571428571428571,0.8514961833669357,0.8571428571428571,0.8514961833669357,0.001,624
3,0.8062900641025641,0.8402777777777778,0.8299327314655258,0.8571428571428571,0.8514961833669357,0.001,936
4,0.8441506410256411,0.8293650793650794,0.8352465741562904,0.8571428571428571,0.8514961833669357,0.001,1248
5,0.8537660256410257,0.8759920634920635,0.8786698358388383,0.8759920634920635,0.8786698358388383,0.001,1560
6,0.8699919871794872,0.8998015873015873,0.8999765689871719,0.8998015873015873,0.8999765689871719,0.001,1872
7,0.8864182692307693,0.9156746031746031,0.9137760612825672,0.9156746031746031,0.9137760612825672,0.001,2184
8,0.8818108974358975,0.9255952380952381,0.9235357326046513,0.9255952380952381,0.9235357326046513,0.001,2496
9,0.8962339743589743,0.8908730158730159,0.881271622963561,0.9255952380952381,0.9235357326046513,0.001,2808
10,0.8974358974358975,0.8363095238095238,0.8343126866940832,0.9255952380952381,0.9235357326046513,0.001,3120
11,0.9052483974358975,0.9375,0.9430641208895926,0.9375,0.9430641208895926,0.001,3432
12,0.9046474358974359,0.8640873015873016,0.865021204862575,0.9375,0.9430641208895926,0.001,3744
13,0.9076522435897436,0.8898809523809523,0.8862856577522493,0.9375,0.9430641208895926,0.001,4056
14,0.914863782051282,0.8541666666666666,0.8488108078474161,0.9375,0.9430641208895926,0.001,4368
15,0.9094551282051282,0.939484126984127,0.9368966186677359,0.939484126984127,0.9430641208895926,0.001,4680
16,0.9198717948717948,0.9186507936507936,0.9208183878710008,0.939484126984127,0.9430641208895926,0.001,4992
17,0.9156650641025641,0.9384920634920635,0.9461297553775061,0.939484126984127,0.9461297553775061,0.001,5304
18,0.9158653846153846,0.9047619047619048,0.8975482771663257,0.939484126984127,0.9461297553775061,0.001,5616
19,0.9174679487179487,0.9454365079365079,0.9460318525640155,0.9454365079365079,0.9461297553775061,0.001,5928
20,0.9286858974358975,0.9424603174603174,0.9451727415367934,0.9454365079365079,0.9461297553775061,0.0007,6240
21,0.9377003205128205,0.9583333333333334,0.9610005689755022,0.9583333333333334,0.9610005689755022,0.0007,6552
22,0.9340945512820513,0.9573412698412699,0.9621191868311735,0.9583333333333334,0.9621191868311735,0.0007,6864
23,0.9360977564102564,0.9464285714285714,0.9477967898658857,0.9583333333333334,0.9621191868311735,0.0007,7176
24,0.9344951923076923,0.8998015873015873,0.9029287271372425,0.9583333333333334,0.9621191868311735,0.0007,7488
25,0.9387019230769231,0.935515873015873,0.936104444531783,0.9583333333333334,0.9621191868311735,0.0007,7800
26,0.9354967948717948,0.9166666666666666,0.9116515783618413,0.9583333333333334,0.9621191868311735,0.0007,8112
27,0.9338942307692307,0.9384920634920635,0.9353778796408971,0.9583333333333334,0.9621191868311735,0.0007,8424
28,0.936698717948718,0.9523809523809523,0.955960001386407,0.9583333333333334,0.9621191868311735,0.0007,8736
29,0.9296875,0.9563492063492064,0.9585232727760061,0.9583333333333334,0.9621191868311735,0.0007,9048
30,0.9407051282051282,0.9464285714285714,0.9480961130530167,0.9583333333333334,0.9621191868311735,0.0007,9360
31,0.9399038461538461,0.9623015873015873,0.9631618633607794,0.9623015873015873,0.9631618633607794,0.0007,9672
32,0.9389022435897436,0.9325396825396826,0.932041552661018,0.9623015873015873,0.9631618633607794,0.0007,9984
33,0.9427083333333334,0.9593253968253969,0.9602225478242078,0.9623015873015873,0.9631618633607794,0.0007,10296
34,0.9413060897435898,0.933531746031746,0.9334795746060653,0.9623015873015873,0.9631618633607794,0.0007,10608
35,0.9405048076923077,0.9543650793650794,0.9546178371668608,0.9623015873015873,0.9631618633607794,0.0007,10920
36,0.9443108974358975,0.9484126984126984,0.9490445566010305,0.9623015873015873,0.9631618633607794,0.0007,11232
37,0.9364983974358975,0.9454365079365079,0.9492061052496148,0.9623015873015873,0.9631618633607794,0.0007,11544
38,0.9485176282051282,0.9573412698412699,0.9547076287193885,0.9623015873015873,0.9631618633607794,0.0007,11856
39,0.946113782051282,0.9593253968253969,0.9567912077335532,0.9623015873015873,0.9631618633607794,0.0007,12168
40,0.9519230769230769,0.9662698412698413,0.9670210679374491,0.9662698412698413,0.9670210679374491,0.00049,12480
